"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"52",0,8,"F9","Frontier Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",211,60,16.29,1,12.84,29.87,4391,0
"53",0,8,"F9","Frontier Airlines Inc.","SFO","San Francisco, CA: San Francisco International",187,70,9.87,0.15,48.24,11.73,6579,0
"54",0,8,"HA","Hawaiian Airlines Inc.","LAS","Las Vegas, NV: McCarran International",78,7,6.71,0,0,0.29,243,0
"55",0,8,"HA","Hawaiian Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",165,24,20.21,0,0,3.79,1025,0
"56",0,8,"HA","Hawaiian Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",31,5,5,0,0,0,198,0
"57",0,8,"HA","Hawaiian Airlines Inc.","SFO","San Francisco, CA: San Francisco International",62,7,3.32,0,0,3.68,419,0
"58",0,8,"NK","Spirit Air Lines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",637,140,26.22,1.85,88.17,22.31,8130,1.45
"59",0,8,"NK","Spirit Air Lines","DEN","Denver, CO: Denver International",372,99,14.4,0.8,58.03,25.76,5429,0
"60",0,8,"NK","Spirit Air Lines","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",819,195,31.27,3.86,120.33,39.54,14653,0
"61",0,8,"NK","Spirit Air Lines","IAH","Houston, TX: George Bush Intercontinental/Houston",651,121,9.33,4.03,86.1,20.06,7581,1.47
"62",0,8,"NK","Spirit Air Lines","LAS","Las Vegas, NV: McCarran International",1023,190,30.04,2.81,114.98,41.17,11754,1
"63",0,8,"NK","Spirit Air Lines","LAX","Los Angeles, CA: Los Angeles International",837,177,26.01,1.26,111.33,37.88,10450,0.52
"64",0,8,"NK","Spirit Air Lines","ORD","Chicago, IL: Chicago O'Hare International",930,181,34.65,7.59,106.09,31,12093,1.67
"65",0,8,"NK","Spirit Air Lines","PHX","Phoenix, AZ: Phoenix Sky Harbor International",31,9,0.71,1,4.59,2.7,522,0
"66",0,8,"OO","SkyWest Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1094,224,45.57,7.5,61.72,109.21,18565,0
